summary,description,Ticker,adjusted_date,sentiment
"The Energy Policy recess has been underway, with reports from both sides of the political and environmental issues. These include the Supreme Court reviewing Navajo Nation water rights in the Colorado River, the Interior Department's draft plan for water cuts for the river, and the Department of Energy's proposed lithium-ion battery safety standards. Meanwhile, the Senate is considering suing the Biden administration for its plan for the IRA's expanded EV tax credit, while the EPA approved a plant to produce plastic-based alternative fuels with toxic pollution potential.","Manchin, Merkley, Colorado River, lithium batteries.",ATO,9/23/2022 0:00,neutral
"Amazon (AMZN) and UPS (UPS) have both issued a downbeat outlook on domestic consumer spending, amid concern that rising interest rates and tighter lending standards could lead to a recession in the US. Amazon's online store revenue of $51.10 billion fell by about $30 million from the same period the year prior, while UPS noted many of its declines are in line with monthly retail sales. Consumer Confidence for the next six months hit its lowest levels since July 2022, and some economists argue the outlook still isn't as rosy. The stock market is signaling something similar too, with Visa, Mastercard and the retail stocks trading lower.","While the company grew overall net sales in North America by 11%, Amazon‚Äôs online store revenue of $51.10 billion fell by about $30 million from the same period the year prior.",AMZN,9/23/2022 0:00,positive
"Texas Instruments' new 300-millimeter semiconductor wafer fabrication plant in Richardson has achieved Leadership in Energy and Environmental Design Gold certification under version 4. This designation makes the facility, known as RFAB2, the first wafer fab in the United States and the fourth in the world to achieve this more stringent level of LEED certification from the U.S. Green Building Council. The new fab‚Äôs design, construction and operation are expected to achieve significant efficiencies, including saving 750 million gallons of potable water and almost 80,000 megawatt-hours of energy annually. The factory was also constructed using responsibly sourced materials and was designed and built in a way that fosters a healthy work environment. In addition to the new fab in Richardson, Texas Instruments Inc. is also building four new semiconductorwafer fabrication plants in Sherman to manufacture tens of millions of processing chips daily.","Texas Instruments‚Äô RFAB2, a new 300-millimeter semiconductor wafer fabrication plant in Richardson, has achieved high-level LEED certification.",TXN,9/23/2022 0:00,positive
"‚Ä¢ Many are selling stolen goods on online platforms to unwitting consumers. A Meta spokesperson said Facebook Marketplace prohibits the sale of stolen items and has ""specialized teams that work with law enforcement to respond to legal requests.""

""We enforce our commerce policies (including reviewing complaints and reports against sellers and reports of stolen goods) through our commerce review system,"" they added. This e-fencing ‚Äî the selling of stolen goods online ‚Äî is not a new phenomenon. In recent years, many online platforms have already taken steps to crack down on the selling of stolen goods.","""E-fencing,"" or selling stolen goods online, could be on the rise as CEOs complain of worsening shoplifting. You might be supporting it.",COST,9/26/2022 0:00,positive
"The pain for stocks is far from over and investors should look elsewhere until the market comes to grip with a global recession caused by central banks, according to the BlackRock. Bonds and stocks have both fallen sharply this year as the Federal Reserve and other central banks have hiked interest rates. Plus, high quality credit can weather a recession better than stocks,"" the note said. One area of stocks where BlackRock is bullish comes from the transition to clean energy.",BlackRock says to shy away from stocks and focus on credit as recession looms,BLK,9/26/2022 0:00,positive
"BlackRock backs banks, cuts European, EM debt as part of ""new playbook"".

LONDON, Nov 30 (Reuters) - Asset manager BlackRock has said 2023 will require a new investment playbook, backing banks and energy sectors to do well while slapping 'underweights' on longer-term European government bonds and emerging market local currency debt. 

The BlackRock Investment Institute (BII) said in its 2023 global outlook that while the case for investment credit has brightened and short-term government debt yields looked attractive, the pressures of higher interest rates would weigh on longer-term sovereign bonds. 

""The macro damage we expect for next year is yet to be fully reflected in market pricing"" said Wei Li, global chief investment strategist at the BII.","Asset manager BlackRock has said 2023 will require a new investment playbook, backing banks and energy sectors to do well while slapping 'underweights' on longer-term European government bonds and emerging market local currency debt.",BLK,9/26/2022 0:00,positive
"Shares of crypto exchange Coinbase Global rose nearly 12% Monday after Cboe Global Markets refiled applications for spot bitcoin exchange-traded funds, with the Securities and Exchange Commission expecting them to have a ‚Äúsurveillance-sharing agreement‚Äù or provide enough information about the details of those surveillance arrangements. The company is also expected to enter into surveillance-sharing agreements with Coinbase, which they are expected to provide.","Shares of crypto exchange Coinbase Global climbed nearly 12% Monday after Cboe Global Markets refiled applications for spot bitcoin exchange-traded funds, saying it expects Coinbase to help monitor trading.  The Securities and Exchange Commission returned earlier filings to Cboe and the Nasdaq because they didn‚Äôt name the spot bitcoin exchange with which they are expected to have a ‚Äúsurveillance-sharing agreement‚Äù or provide enough information about the details of those surveillance arrangements, [The Journal previously reported](https://www.wsj/articles/sec-says-spot-bitcoin-etf-filings-are-inadequate-390336e8).  Cboe refiled applications Friday afternoon for spot bitcoin ETFs on behalf of Fidelity, WisdomTree, VanEck, Invesco and Ark Investment Management, saying that it expects to enter into surveillance-sharing agreements with Coinbase.",CBOE,9/26/2022 0:00,positive
"BlackRock plans to cut 500 jobs worldwide following 2022 selloff. 

BlackRock plans to cut 500 employees from its global workforce as the world‚Äôs biggest asset manager grapples with the fallout from last year‚Äôs market sell-off. The job cuts at the nearly $8tn fund management group would be equivalent to a reduction of about 2.5 per cent of its total workforce of almost 20,000 people, about a third of whom are in the US. The headcount reductions were announced in an internal memo from chief executive Larry Fink and president Rob Kapito, according to people familiar with it.","BlackRock plans to cut 500 employees from its global workforce as the world‚Äôs biggest asset manager grapples with the fallout from last year‚Äôs market sell-off.  The job cuts at the nearly $8tn fund management group would be equivalent to a reduction of about 2.5 per cent of its total workforce of almost 20,000 people, about a third of whom are in the US.  The headcount reductions were announced in an internal memo from chief executive Larry Fink and president Rob Kapito, according to people familiar with it.",BLK,9/26/2022 0:00,positive
"Disney reported losses in its streaming business for the most recent quarter of $659 million, an improvement from a year earlier and a vast improvement from the October-to-December period. Streaming revenue climbed 12 percent, reflecting a sharp increase in revenue per paid Disney+ subscribers. Disney‚Äôs linear networks reported $1.8 billion in operating income, down 35 percent and revenue fell 7 percent. Operating profit in Disney's Parks, Experiences and Products division climbed 22 percent, to $2.2 billion. Disneyland Paris continued its attendance surge, which started last summer with the opening of a Marvel-themed expansion.",Progress in cutting streaming costs was offset by worsening results for Disney‚Äôs traditional television channels.,DIS,9/26/2022 0:00,positive
"Interpublic Group (IPG) closed the most recent trading day at $37.75, moving +1.51% from the previous trading session. This change outpaced the S&P 500's 0.99% gain on the day. On that day, shares of the marketing and advertising company had gained 7.3% over the past month, outpacing the Business Services sector's gain of 0.6%. Interpublic Group is projected to report earnings of $0.61 per share, which would represent a year-over-year decline of 3.17%. Recent revisions tend to reflect the latest near-term business trends, and research indicates that these estimate revisions are directly correlated with near- Term share price momentum. The Zacks Rank system ranges from #1 (Strong Buy) to #5 (Strong Sell). To follow IPG in the coming trading sessions, be sure to utilize Zacks Investment Research.","In the latest trading session, Interpublic Group (IPG) closed at $37.75, marking a +1.51% move from the previous day.",IPG,9/26/2022 0:00,positive
"Lincoln National (LNC) Ties Up to Boost Variable Annuity Business. 

 As a result of the partnership, shareholders of four JPMorgan Insurance Trust Portfolios (JPM VITs) will be required to approve the combination of the JPM VITs within four of the equivalent and newly built array of Lincoln Financial Variable Insurance Products Trust (LVIP Acquiring Funds). 

Lincoln National is active in constant product introductions and the enhancement of the existing ones across its variable annuity business.",Lincoln National (LNC) collaborates with the asset management subsidiary of JPMorgan so that it can benefit from the portfolio management capabilities of the latter and better serve its clients.,LNC,9/27/2022 0:00,positive
"More millennials are turning 40, and they are becoming increasingly tech-savvy and spending more money. They are traveling at higher rates than other age groups, edging out the baby boomer generation. Millennials are more likely to spend money on experiences than on consumer goods, and prioritize trips that focus on personal wellness and staying in hotels with spas and wellness services. Despite student debt and rising costs of living, they are still spending to travel. Airbnb has increased the number of millennials with children aged six and younger, and many are looking to stay in a home than a hotel. Multinational hospitality companies have launched brands such as AloGo to appeal to younger travelers.","As more millennials turn 40, the travel industry is focusing on meeting their tech and wellness needs as well as their growing families.",HLT,9/27/2022 0:00,positive
"Citi has released a new research note that investors should buy three consumer-tied companies, Procter & Gamble, Estee Lauder (EL), and Constellation Brands (STZ). These companies are seen as potential growth opportunities in the short term, while other defensive stocks have fallen out of favor due to weak performance. Citi believes that these companies offer ""compelling long-term growth stories at reasonable valuations"" and that they can navigate any economic slowdown in a tough environment. Meanwhile, Citi also sees an ""attractive entry point"" to scoop up P & G shares, and expects ""strong topline/margin recovery"" from Estee Lauderdale as China's economy continues to reopen.","Citi is bullish on Club holdings Estee Lauder (EL), Constellation Brands (STZ) and Procter & Gamble (PG).",STZ,9/27/2022 0:00,positive
"Chipotle, Olive Garden, Aldi, and Walmart are seeing more high income customers. 

CEO Brian Niccol said that the majority of Chipotle customers have relatively high household incomes and they have increased the frequency of orders in a July earnings call. 

The majority of Olive Garden customers make more than $50,000 Cardenas said, and sales among customers making more than $100,000 are doing ""very well."" The proportion of higher-income customers has grown, Cardenas said, and Longhorn Steakhouse sales remain strong as the chain caters to customers with higher incomes, on average.","Chipotle, Olive Garden, Aldi, and Walmart are seeing more high income customers",CMG,9/27/2022 0:00,positive
"Consumer-Goods Giants Procter & Gamble and Unilever Exemplify 1 Emerging Trend for 2023. If you're tired of prices at the grocery store going higher and higher, then recent comments from Alan Jope, CEO of consumer-goods conglomerate Unilever (NYSE: UL), may be unsettling. Unilever is a single data point. Unilever's brands include well-known consumer staples like Dove soap and Hellmann's mayonnaise.","If you're tired of prices at the grocery store going higher and higher, then recent comments from Alan Jope, CEO of consumer-goods conglomerate Unilever (NYSE: UL), may be unsettling.  Unilever is a single data point.  Unilever's brands include well-known consumer staples like Dove soap and Hellmann's mayonnaise.",PG,9/27/2022 0:00,negative
"

But this year, dominating the main street in Davos are emissaries from India, who have taken over at least eight storefronts with appeals to the elite gathering‚Äôs political and business class.

‚ÄúEvery 10 steps you will have either us or a state government or a private entity,‚Äù said Deepak Bagla, the CEO of national investment promotion agency Invest India. One investor, Bagla joked, had described the thoroughfare as ‚ÄúLittle India.‚Äù

India has shown up in force for good reason. 

‚ÄúI see a lot of businesses, a lot of companies looking to India as an investment destination as they try to diversify away from other countries, including China,‚Äù Gita Gopinath, deputy managing director of the International Monetary Fund, told Indian business news channel CNBC-TV18 in Davos. They‚Äôre a substantial asset ‚Äî if India‚Äôs economy can create enough jobs.

Plans to reach net-zero emissions by 2070, and for renewables to account for 50% of India‚Äôs energy mix by 2030, have also unleashed a wave of green investment, Singh said, even as the country remains the world‚Äôs second largest consumer of coal after China.","The promenade at the World Economic Forum, dusted in a blanket of fresh snow, is cluttered with signs and pavilions from companies and governments courting attention or deals. There's the tech giants, the major consulting groups, representatives from the Middle East.",AAPL,9/27/2022 0:00,positive
"Companies are cutting executive salaries, hiring contract workers as layoffs mount - Bizwomen.

Sundar Pichai, CEO of Google parent Alphabet Corp., said executives at the company would see their compensation cut ‚Äî a move announced alongside the high-profile layoff of 12,000 employees. Semiconductor company Micron Technology Inc. CEO Sanjay Mehrotra said the company is cutting executive salaries in 2023 as it also cuts 10% of its workforce. ResumeBuilder‚Äôs survey also found increased interest in utilizing contract work ‚Äî although that practice is being more heavily scrutinized by federal regulators.

About 37% of companies who said they‚Äôd laid off workers in the last three months said they were still hiring for contract workers.

Stacie Haller, chief career adviser at ResumeBuilder.com, said the use of contract workers is common in times of economic uncertainty. ‚ÄúIt gives a company a more nimble workforce without the impact of layoffs.‚Äù

Out of the companies that said they were hiring contract workers",Contract labor is becoming more prominent as a way for companies to cut costs. But businesses need to ask themselves several questions before taking that step.,GOOGL,9/27/2022 0:00,negative
"Bunge Ltd (BG.N) beat Wall Street estimates for first-quarter profit on Wednesday due to strong crush margins and high demand for food, feed and biofuels. The war in Ukraine reduced crop shipments from the grain-rich country fueling prices at a time when demand agricultural commodities has been high. The company reported adjusted net earnings of $3.26 per share for the three months ended March 31, compared with analysts' average estimate of $ 3.24 per share.","Agricultural commodities trader Bunge Ltd beat Wall Street estimates for first-quarter profit on Wednesday, helped by strong crush margins and high demand for food, feed and biofuels.",BG,9/27/2022 0:00,positive
"

Major fast-food chains are employing robots to flip burgers, brew espressos and greet customers - and it is a fraction of the cost compared to paying human workers. 

However, experts are not yet sold and believe it will be a few years before robots take the place of human workers. Its kitchen robot Flippy is capable of cooking 300 burgers and dropping hundreds of baskets of fries into the fry daily. 

Fast-food chains are not just employing robots to make food and drinks, but they are also using artificial intelligence to take orders.","White Castle is testing a fry-making robot at 100 of its locations and Chipotle uses a one-armed machine to make tortilla chips at 73 restaurants - and each costs $3,000 a month.",CMG,9/27/2022 0:00,negative
"Many offered money-saving deals for hotel stays or cruise vacations while others are getting more creative with how they appeal to travelers. The art and design-focused property is taking the step as part of its larger efforts to be more sustainable while inviting guests to discover more of the area‚Äôs art and design through a partnership with the Museum of Contemporary Art Bangkok. Guests can explore free exhibits during their stay or peruse the regional design pieces in hallways, public areas and guest rooms elsewhere. It will also have a brand hallmark, the all-hours Delta Pantry, which is meant to feel like a residential kitchen and available at all hours to Marriott Bonvoy elite status members and premium room guests.","Hotel news from around the world this winter includes properties partnering with fashion designers, switching to more eco-friendly alternatives and even launching do-it-yourself design platforms. Here are nine places worth exploring this winter to discover a new type of hotel stay.",MAR,9/27/2022 0:00,positive
"BlackRock‚Äôs Fink Says ESG Narrative Has Become Ugly, Personal.

 It‚Äôs hard because it‚Äôs not business any more, they‚Äôre doing it in a personal way. The firm has become a political punching bag from forces on both ends of the spectrum, with some on the right alleging its policies harm the fossil-fuel industry and others on the left arguing it‚Äôs not doing enough to respond to climate change.

To manage the fallout, the giant asset manager poured record sums into US political campaigns last year, mounted an advertising campaign to explain its business managing money for retirees and brought on additional lobbyists in Texas and Washington.

‚ÄúWe are doing everything we can to change the narrative,‚Äù he said, adding that he plans to write a letter to business leaders this quarter that will focus on the ‚Äúconcept of hope.‚Äù

BlackRock‚Äôs assets under management, which had crossed the $10 trillion threshold at the end of 2021, stood at $8.59 trillion at the end of December despite inflows into its funds during the fourth quarter.
‚Ä¢ None Airlines Resurrect Ancient Jumbo Jets to Meet First- and Business-Class Demand
‚Ä¢ None What We Got Right and Wrong About 2022
‚Ä¢ None Starbucks‚Äôs New CEO Has Tall Orders to Fill
‚Ä¢ None Housing Pain to Continue Until Economy Slows and Prices Fall","(Bloomberg) -- BlackRock Inc. Chief Executive Officer Larry Fink said the narrative around ESG investing has become ugly and is creating ‚Äúhuge polarization.‚ÄùMost Read from BloombergChina‚Äôs Population Shrinks for First Time Since 1960s in Seismic ShiftChief Executives, Economists Brace for Recession as Davos BeginsEuropean Stocks Rise as US Futures Signal Caution: Markets WrapItaly‚Äôs Most-Wanted Mafia Boss Arrested After 30 YearsMicrosoft to Add ChatGPT to Azure Cloud Services ‚ÄòSoon‚Äô‚ÄúI‚Äôm taking t",BLK,9/27/2022 0:00,negative
"The Women Corporate Directors hosted its Global Institute & Visionary Awards, which held two-day conference on Thursday. Speakers shared insight on what boards should take while facing inflation, attempting to retain talent, recent innovations in AI, and more. Attendees were able to take away insight into what boards need to do soon, including: Facing supply chain constraints, the post-pandemic era, and inflation continue to impact boards. The event also hosted the Visionary Award for Leadership and Governance of a Private Company, and was selected by the WCD Visionary awards Selection Committee. The honorees all mentioned a common sentiment that global organizations must continue to make strides in boardroom diversity. KPMG LLP and Midmark Corporation are the Presenting Sponsor of the 2023 Global Institute.","The Women Corporate Directors hosted its Global Institute & Visionary Awards. During the two-day conference, the event hosted various sessions spanning multiple topics, including today‚Äôs environment, technology, innovation, and challenges that current boards face. During the panel discussions, keynote sessions, and fireside chats, attendees had the opportunity to hear and engage with worldwide business leaders. [‚Ä¶]",SPGI,9/28/2022 0:00,positive
"A business survey showed that Russia's service sector returned to growth for the first time in five months in February, with client demand and new business increasing. The S&P Global Purchasing Managers' Index (PMI) for Russian services posted 53.1 for February, climbing from 48.7 a month earlier and moving above the 50-mark which separates expansion from contraction. The sector has been under intense pressure since Russia sent tens of thousands of troops into Ukraine last February in what it calls a ""special military operation"". However, buoyed by February's uptick in client demand, firms also resumed hiring, with employment expanding for theFirst time since last July. A sister survey on Wednesday showed that activity across Russia's manufacturing sector expanded at its fastest rate in six years in February. Input prices rose at their slowest pace since August, easing cost pressures, which contributed to the highest level of positive sentiment since July.","Russia's service sector returned to growth for the first time in five months in February, a business survey showed on Friday, as client demand and new business increased, boosting firms' optimism for the year ahead.",SPGI,9/28/2022 0:00,positive
"The Federal Trade Commission is investigating whether baby formula makers broke the law in bidding for state contracts. Abbott Laboratories, which makes Similac and which produces nearly half of the infant formula in the U.S., is one of just three formula manufacturers that have regularly bid to supply the product for state-run Women, Infants and Children (WIC) programs. The FTC has no role in regulating consumer safety or manufacturing issues affecting baby formula, but the agency can take steps to address any anticompetitive, unfair, or deceptive acts or practices that have contributed to or are worsening this problem.",The FTC has asked Abbott Labs and other formula makers for information on their bidding practices for lucrative state programs.,ABT,9/28/2022 0:00,negative
"A jury ruled in favor of oil field services giant Schlumberger Ltd. (NYSE: SLB) in a federal lawsuit alleging discrimination related to sex or gender. Plaintiff Jessica Cheatham claimed she was treated unfairly at the workplace and wrongfully discharged on account of her sex, gender, or retaliation. SLB denied the claims, contending that it took prompt and effective remedial action in accordance with its policies and procedures for any reported unlawful conduct. The jury ruled that the plaintiff did not prove ""by a preponderance of evidence"" her claims of discrimination, hostile work environment, constructive discharge and retaliation. The lawsuit was originally filed in the U.S. District Court for the Southern District of Texas in Houston in June 2020 by Sara Saidman, another former SLB employee, who brought the suit under Title VII of the Civil Rights Act of 1964 and was seeking at least $100 million in damages. However, the court granted Saidman's unopposed motion to dismiss her claims with prejudice in late 2022.",A jury sided with oil field services giant SLB in all four claims.,SLB,9/28/2022 0:00,negative
"The Zacks Consensus Estimate for fourth-quarter earnings is pegged at $1.07 per share, indicating a year-over-year increase of 13.83%. The Zacks Consensus Estimate for fourth-quarter earnings is pegged at $1.2 per share, implying a year-over-year increase of 7.14%. The Zacks Consensus Estimate for 2023 EPS is $4.12, implying a year-over-year increase of 1.54%.



DTE Transfer DTE is slated to report fourth-quarter results on Feb 23, before market open. The Zacks Consensus Estimate for fourth-quarter earnings is pegged at $1.21 per share, implying a year-over-year increase of 15.24%.",Atmos Energy Corporation's (ATO) fiscal first-quarter 2023 earnings miss estimates. ATO continues making strategic investments to improve system's safety and increase reliability of operation.,ATO,9/28/2022 0:00,neutral
"The roles we‚Äôre eliminating reflect the outcome of that review.‚Äù

The news comes days after Microsoft CEO Satya Nadella revealed that the company would dismiss some 10,000 employees and weeks after Amazon CEO Andy Jassy unveiled a total headcount reduction of 18,000 employees. Technology companies dismissed more than 90,000 workers last year, according to a report from CrunchBase.

‚ÄúAs an almost 25-year-old company, we‚Äôre bound to go through difficult economic cycles,‚Äù Pichai continued. Jean-Pierre responded that the commander-in-chief watches closely ‚Äúanytime there are reports of Americans losing their jobs.‚Äù

‚ÄúI don‚Äôt have a comment on specific moves announced by particular companies. The dismissals also come after the Federal Reserve raised interest rates by three-quarters of a percentage point on four consecutive occasions before implementing a half-percent increase last month, increasing borrowing costs for businesses and consumers.

Officials at the central bank have previously warned that economic fallout from the rate hikes would produce higher unemployment. ‚ÄúWhile","Google announced plans to dismiss thousands of employees days after the White House dismissed concerns about the layoffs sweeping the technology sector. Google CEO Sundar Pichai informed the company on Friday that some 12,000 positions would be eliminated as a result of macroeconomic turmoil. The layoffs will impact approximately 6% of the company‚Äôs workforce of ...",GOOGL,9/28/2022 0:00,positive
"‚Ä¢ The case centers on Section 230 of the Communications Decency Act, the 1996 law that says companies aren't liable for content their users post. ""If algorithmically presenting content to users could expose services to potential liability for unlawful content, they naturally would refrain from using those systems to present relevant content, depriving users of the positive experiences we all want and need."" ‚Ä¢ Yelp: ""Recommending content is a core form of publication under Section 230, and necessary to provide consumers with useful, trustworthy reviews,"" the company's lawyer's write in a brief. It is smaller and start up platforms especially that depend on Section 230 to foster diverse approaches to content moderation and to challenge the dominant industry leaders.""",These companies say they'll have a harder time adapting to that change than tech's giants.,GOOGL,9/28/2022 0:00,positive
"HCA Healthcare Inc (HCA.N) on Thursday raised its annual profit forecast, predicting a recovery in surgical procedure volumes. The volumes of medical procedures are trending upwards after the U.S. government ended the public health emergency status for COVID-19 in May. The recovery in demand for surgical procedures has also boosted margins for others including medical device makers such as Johnson & Johnson (JNJN) and Abbott Laboratories (ABT.N). HCA Healthcare said it expects 2023 profit in the range of $17.70 to $18.90 per share, compared with its previous forecast.","Hospital operator HCA Healthcare Inc on Thursday raised its annual profit forecast, betting on a recovery in surgical procedure volumes.",HCA,9/28/2022 0:00,negative
"American Airlines is expecting to record higher costs in the current quarter following its new $9.6 billion labor deal with its pilots, which includes nearly $10 billion in total pay and benefits increases over four years. The Allied Pilots Association (APA) said 72.7% of the pilots voted for the deal which will result in an immediate pay raise of more than 21%. Overall, compensation for pilots at the airline will rise by more than 46% during the contract's duration. With no letup in travel demand, airlines are in a rush to staff up, bolstering the bargaining power of pilots. American Airlines' contract includes about $1.1 billion in immediate, one-time payments and ratification bonuses.",American Airlines said Tuesday it was expecting to record higher costs in the current quarter following its new $9.6 billion labor deal with its pilots.,AAL,9/28/2022 0:00,positive
"

On Friday, New York‚Äôs State Comptroller asked Southwest Airlines how it plans to correct the problems that led to the flight cancellation meltdown, adding pressure from the country‚Äôs third-largest public pension system and holder of more than 1.3 million shares in the company.

‚ÄúClearly this crisis has resulted in profound customer dissatisfaction and is expected to generate significant costs to the company,‚Äù New York Comptroller Thomas DiNapoli wrote in the letter to Southwest CEO Bob Jordan. ‚ÄúThe magnitude of the meltdown has drawn heavy regulatory scrutiny and may have lasting impact on the public‚Äôs confidence in the company‚Äôs operational integrity.‚Äù

S&P Global, another credit rating company, downgraded Southwest on Monday from positive to stable, but said the primary reason was growing concerns over a recession. 

‚ÄúSouthwest‚Äôs lower-cost structure compared with other large airlines, largely domestic route network, and focus on leisure travel will likely help it withstand the potential recession,‚Äù S&P said in a statement. ‚ÄúWe could raise our ratings on Southwest over the next 12-24 months if the recovery in air travel demand continues and is not significantly affected by weaker economic growth.‚Äù

While Jordan and other Southwest leaders have not released a plan for how it will fix the issues that led to the fiasco, he told employees in a memo Monday that ‚Äúour work on identifying lessons learned is underway with department leaders, frontline employees and our unions providing perspectives and feedback as part of that work.‚Äù

‚ÄúSo, there is work ahead, but we intend to move through that very swiftly,‚Äù Jordan wrote. 

However, Southwest‚Äôs struggles have been a gain to other airlines.","Investment and credit firms tracking Dallas-based Southwest Airlines think the carrier will upgrade its technology, but the company‚Äôs stock has already...",AAL,9/28/2022 0:00,positive
"American Airlines flight attendants held an informational picket at DFW Airport after four years without a pay raise. The union representing them wants to keep the issue in front of the flying public as an expected busy summer travel season approaches. The picket was one of nine such pickets across the country, with American Airlines returning to profitability and demand remaining high. Flight attendants carried signs saying “$803,000,000 reasons for a pay rise” and “We are waiting Robert.” American has been in contract negotiations with flight attendants and pilots since 2019, and the union is seeking staffing improvements in order to better serve passengers. Delta Air Lines’ pilots have also raised their pay by $8 billion over four years.",It’s been four years since American Airlines flight attendants last got a pay raise and the union representing them wants to keep the issue in front of the...,AAL,9/28/2022 0:00,positive
"American Airlines flight attendants held an informational picket at DFW Airport after four years without a pay raise. The union representing them wants to keep the issue in front of the flying public as an expected busy summer travel season approaches. The picket was one of nine such pickets across the country, with American Airlines returning to profitability and demand remaining high. Flight attendants carried signs saying “$803,000,000 reasons for a pay rise” and “We are waiting Robert.” American has been in contract negotiations with flight attendants and pilots since 2019, and the union is seeking staffing improvements in order to better serve passengers. Delta Air Lines’ pilots have also raised their pay by $8 billion over four years.",It’s been four years since American Airlines flight attendants last got a pay raise and the union representing them wants to keep the issue in front of the...,AAL,9/28/2022 0:00,positive
"Investors will be hoping for strength from Bunge as it approaches its next earnings release, which is expected to be February 8, 2023. On that day, Bunge is projected to report earnings of $3.19 per share, which would represent a year-over-year decline of 8.6%. It is also important to note the recent changes to analyst estimates for Bunge. The Zacks Rank system, which ranges from #1 (Strong Buy) to #5 (Strong Sell), has an impressive outside-audited track record of outperformance, with #1 stocks generating an average annual return of +25% since 1988.","Bunge (BG) closed at $96.88 in the latest trading session, marking a +0.32% move from the prior day.",BG,9/28/2022 0:00,positive
"U.S. natural gas futures declined about 2% on Wednesday after data showed the amount of gas flowing to Freeport LNG's export plant in Texas had dropped and forecasts indicated the weather in the near term would be warmer than previously expected. Front-month gas futures for April delivery had fallen 6.2 cents, or 2.3%, to $2.625 per million British thermal units (mmBtu) by 8:55 a.m. EST, even though the total amount of oil flowing to all seven big U.N. LNG export plants was still on track to hit a record high this month. The market has been extremely volatile in recent weeks as traders bet on the latest weather forecasts. Federal regulators approved the restart of two of Freeport's three liquefaction trains (Trains 2 and 3) in February, but federal regulators have more questions on March 6 about the timing of the restart. Average gas output in the US. Lower 48 states has risen to 98.4 bcfd so far in March, up from 98.2bcfd in February.","U.S. natural gas futures declined about 2% on Wednesday after data showed the amount of gas flowing to Freeport LNG's export plant in Texas had dropped and forecasts indicated the weather in the near term would be warmer than previously expected.  The market has been extremely volatile in recent weeks as traders bet on the latest weather forecasts.  Freeport LNG's export plant was on track to pull in just 0.1 billion cubic feet per day (bcfd) of gas on Wednesday, down from 1.0 bcfd on Tuesday, according to data provider Refinitiv.",FCX,9/28/2022 0:00,positive
"Major North American copper miners are expected to report a fall in second-quarter profits due to lower realized prices for the red metal and labor costs. Freeport-McMoRan, Southern Copper and Teck Resources are estimated to post a combined adjusted profit of $1.53 billion for the April-June quarter, compared with $2.63 billion a year earlier. The average copper price fell about 11% to $3.85 per pound during the period, as per CFRA Research. Freep-McRan's earnings before interest, taxes, depreciation, and amortization (EBITDA) were knocked out by $110 million. Southern Copper Five of 11 analysts rate the $62.74 stock ""hold"" and six ""sell"" or ""sell,"" while Tecks Resources Nine of 11 rate the C$67.65 stock ""buy"" or higher.","Major North American copper miners are likely to report a fall in second-quarter profits, as global growth concerns dented realized prices for the red metal and labor costs remained high. Freeport-McMoRan, Southern Copper and Teck Resources are estimated to post a combined adjusted profit of $1.53 billion for the April-June quarter, according to data from Refinitiv, compared with $2.63 billion a year earlier. The average copper price fell about 11% to $3.85 per pound during the period, as per CFRA Research.",FCX,9/28/2022 0:00,negative
"FedEx has warned delivery contractors not to throw packages or make ""obscene or offensive markings"" on them, and sent a memo to delivery contractors Monday warning against ""offensive markings on packages and indecent public exposure."" The memo indicates that FedEx sent the warning as a reaction to general feedback but also in reference to specific events. FedEx's Ground delivery service doesn't directly employ drivers like FedEx Express, and the relationship between the company and those contractors has been strained in the last year. FedEx will be scheduling ""forums"" to discuss the subject and ""review real examples of actions that jeopardize brand identity and customer experience"".","""It's easy to think these incidents won't happen, but they do, and they tarnish the FedEx brand,"" FedEx's memo warned.",FDX,9/28/2022 0:00,positive
